Direccion,Numero,geo_point_2d
Nueve de Octubre - Cieza,245,"39.47213024806011,-0.40527029936434095"
Archiduque Carlos - José María Mortes Lerma,213,"39.463165305912604,-0.39697246591763863"
Pintor Stolz - Nueve de Octubre,217,"39.47032833321364,-0.40459648652865626"
San Jose Artesano - Francisco Morote Greus,238,"39.497449418355934,-0.39438342966293366"
San Francisco de Paula - Castell de Pop,274,"39.44807022576504,-0.3331882593063431"
Moreras - Rona de Nazaret,275,"39.45230524022502,-0.3350652633218127"
Castán Tobeñas - Patriques,220,"39.47385534208041,-0.3983214623957442"
Periodista Gil Sumbiela - Poeta Serrano Clavero,206,"39.49271239990425,-0.38900741524280136"
Dels Gremis - Campos Crespo,252,"39.45028826570709,-0.40357449843597065"
Pio IX - Músico Cabanilles,259,"39.44546024514969,-0.3930154660803912"
C/GUILLEM DE CASTRO esquina con C/NA JORDANA,1,"39.48004223020643,-0.38292927973315827"
Plaza del Musico López Chavarri,3,"39.4768353435743,-0.3802883976424855"
Angel Guimerá - Juan Llorens,22,"39.46978732404922,-0.3883534313205414"
Salvador Giner - C. Museo,2,"39.479889353348874,-0.3797483936090024"
Hospital - Horno del Hospital,10,"39.470816323984536,-0.38261041097634013"
San José de Calasanz - Salas Quiroga,26,"39.46633523268935,-0.38586429939117395"
Plaza de los Fueros - Conde Trenor,36,"39.479072348860946,-0.3754363798581042"
Plaza de la Virgen - Bailía,4,"39.476747340831494,-0.37534238089458904"
Plaza del Mercado - Taula de Canvis,7,"39.47487233593648,-0.3791853952972924"
Cirilo Amorós - Jorge Juan (Mercado Colón),30,"39.468601309884924,-0.36849936365579583"
Peris y Valero - Cabo Jubi,38,"39.45940204927687,-0.37024937736936264"
Juan Llorens - Literato Gabriel Miró,21,"39.4723713328859,-0.39021443540491124"
San Vicente Martir - Doctor Vilá Barberá,27,"39.463362299305594,-0.3818514137102655"
Plaza América - Cirilo Amorós - Sorní,29,"39.47011231364647,-0.3652993525279599"
Autopista del Saler - Puente Monteolivete,47,"39.45651226440267,-0.35541832880362817"
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler),49,"39.45298693239739,-0.3571104198826364"
Plaza de Europa,54,"39.459778273617445,-0.3526903171951741"
Menorca - Baleares,62,"39.45981126842254,-0.3421522812931475"
Justo y Pastor - Duque de Gaeta,98,"39.469680303996114,-0.348442294427372"
Guillem de Anglesola - Av. Puerto,66,"39.46427128532339,-0.3462612916525901"
"Colón, 44",70,"39.469213221319464,-0.3716462894107889"
Aragón - Vicente Sancho Tello,78,"39.46994531050937,-0.358688329939162"
Guillem de Castro (Torres de Quart),82,"39.47605634238628,-0.3839144104057024"
"Serrería, 67",84,"39.467123092394516,-0.33522597686590844"
Blasco Ibañez - Mestre Ripoll,100,"39.471634305646866,-0.33815025853445674"
Micer Mascó - Rodriguez Fornos,81,"39.47512832851177,-0.36097833354659675"
General Elio - Llano del Real,83,"39.47758533929587,-0.3669703519914759"
Blasco Ibañez - Poeta Durán Tortajada,93,"39.472282310670764,-0.34380927742382206"
Av. de la Plata (Museo Fallero),42,"39.45878127329601,-0.3586583378805894"
Pintor Luis Arcas - Inst. Obrero Valenciano,46,"39.455509261762266,-0.35878734087160885"
Antonio Ferrandis - General Urrutia,48,"39.450807354184086,-0.35855273823228967"
Alameda - Pintor Maella,53,"39.45676426141678,-0.34813930400480075"
Vicent Vidal - Pintor Maella,61,"39.46129327599964,-0.34783029886743094"
Gaspar Aguilar - Vicente Parra,86,"39.4552402764855,-0.39119345191575566"
Mediterráneo - Plaza Cruz de Cañamelar,161,"39.46796929073871,-0.3317262387298495"
Pérez Galdós - Marqués de Zenete,157,"39.46405230416093,-0.38736643250783204"
Hospital Nueva Fe (administración),189,"39.44477922701873,-0.37706532415787625"
Don Vicente Guillot - Progreso,166,"39.47334930757559,-0.32881122495787873"
Av. de la Plata - Zapadores,179,"39.45547226612543,-0.36642636792637634"
Reina Doña María - Cádiz,152,"39.460925286769694,-0.3727053849231208"
Puerto Rico - Cuba,156,"39.46096428829767,-0.3763453968184098"
Pavía - Columbretes,164,"39.46846028903177,-0.3246342149862025"
Pechina - Teruel,202,"39.47622234753723,-0.39333444304417053"
UPV Galileo,111,"39.48066419504159,-0.3395082613341325"
Cataluña - Doctor Vicente Zaragozá,115,"39.481562345598135,-0.3521482985209469"
UPV Trinquet,110,"39.48074033571707,-0.33668024623462534"
Manuel Broseta i Pont - Naranjos,112,"39.47858033137406,-0.34227526701990957"
